START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
  1.0628344709207893E+00 -5.3357081830540853E-01 -1.7154648061779891E+00
 -1.0628344709207893E+00  5.3357081830540853E-01  1.7154648061779891E+00
  0.0000000000000000E+00 -2.1211594266840712E+00  0.0000000000000000E+00
  0.0000000000000000E+00  2.1211594266840712E+00  0.0000000000000000E+00
  2.1250703004280731E+00 -2.9676410869642800E-03  0.0000000000000000E+00
 -2.1250703004280731E+00  2.9676410869642800E-03  0.0000000000000000E+00
  5.3126757510701828E-01  2.1204175164123300E+00  0.0000000000000000E+00
 -5.3126757510701828E-01 -2.1204175164123300E+00  0.0000000000000000E+00
  5.3126757510701828E-01 -2.1219013369558124E+00  0.0000000000000000E+00
 -5.3126757510701828E-01  2.1219013369558124E+00  0.0000000000000000E+00
  2.1250703004280731E+00  5.2732221558405357E-01  0.0000000000000000E+00
 -2.1250703004280731E+00 -5.2732221558405357E-01  0.0000000000000000E+00
  2.1250703004280731E+00 -5.3325749775798204E-01  0.0000000000000000E+00
 -2.1250703004280731E+00  5.3325749775798204E-01  0.0000000000000000E+00
  9.9773568917606135E-05  2.1205603796537682E+00 -5.7182160205932975E-01
 -9.9773568917606135E-05 -2.1205603796537682E+00  5.7182160205932975E-01
 -9.9773568917606135E-05  2.1217584737143742E+00  5.7182160205932975E-01
  9.9773568917606135E-05 -2.1217584737143742E+00 -5.7182160205932975E-01
  2.1249705268591557E+00 -2.3685940566614090E-03  5.7182160205932975E-01
 -2.1249705268591557E+00  2.3685940566614090E-03 -5.7182160205932975E-01
 -2.1251700739969905E+00  3.5666881172671510E-03  5.7182160205932975E-01
  2.1251700739969905E+00 -3.5666881172671510E-03 -5.7182160205932975E-01
 -1.0627346973518719E+00 -1.5881876554089653E+00  1.1436432041186595E+00
  1.0627346973518719E+00  1.5881876554089653E+00 -1.1436432041186595E+00
 -1.5940022724588900E+00 -1.0571558884662067E+00  1.1436432041186595E+00
  1.5940022724588900E+00  1.0571558884662067E+00 -1.1436432041186595E+00
 -1.0623356030762012E+00 -1.5905838435301769E+00 -1.1436432041186595E+00
  1.0623356030762012E+00  1.5905838435301769E+00  1.1436432041186595E+00
 -1.0623356030762012E+00  1.5911552964959297E+00 -1.1436432041186595E+00
  1.0623356030762012E+00 -1.5911552964959297E+00  1.1436432041186595E+00
 -1.5936031781832196E+00 -1.0595520765874182E+00 -1.1436432041186595E+00
  1.5936031781832196E+00  1.0595520765874182E+00  1.1436432041186595E+00
  1.5936031781832196E+00 -1.0616073500966530E+00  1.1436432041186595E+00
 -1.5936031781832196E+00  1.0616073500966530E+00 -1.1436432041186595E+00
 -1.0627346973518719E+00  1.5935514846171412E+00  1.1436432041186595E+00
