START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
  4.9988707209074545E-01  9.0299302725707527E-03  1.3385274378394485E+00
 -4.9988707209074545E-01 -9.0299302725707527E-03 -1.3385274378394485E+00
  4.9891972153451236E-01 -1.0077140609554014E+00  8.8629227978947722E-01
 -4.9891972153451236E-01  1.0077140609554014E+00 -8.8629227978947722E-01
  5.0001077867299293E-01  1.0085610069820932E+00 -8.8639823175601484E-01
 -5.0001077867299293E-01 -1.0085610069820932E+00  8.8639823175601484E-01
  9.9823591393589239E-01 -5.1182827821690635E-01 -8.9551373790288180E-01
 -9.9823591393589239E-01  5.1182827821690635E-01  8.9551373790288180E-01
  9.9962508647911819E-01  5.1352217027029035E-01  8.9530183396980656E-01
 -9.9962508647911819E-01 -5.1352217027029035E-01 -8.9530183396980656E-01
  8.3519360061054006E-04  5.1554404333000659E-01  1.3416012572105833E+00
 -8.3519360061054006E-04 -5.1554404333000659E-01 -1.3416012572105833E+00
  4.9835729221852199E-01 -1.0191893373010343E+00 -8.9848160530747911E-01
 -4.9835729221852199E-01  1.0191893373010343E+00  8.9848160530747911E-01
 -5.0057320798898330E-01 -1.0200362833277261E+00 -8.9837565334094149E-01
  5.0057320798898330E-01  1.0200362833277261E+00  8.9837565334094149E-01
  9.9824436430926744E-01 -1.0101594070284634E+00  4.4004583253196938E-01
 -9.9824436430926744E-01  1.0101594070284634E+00 -4.4004583253196938E-01
  9.9961663610574314E-01  1.0118532990818474E+00 -4.4025773646504451E-01
 -9.9961663610574314E-01 -1.0118532990818474E+00  4.4025773646504451E-01
  9.9796314965127220E-01 -1.0158970452012801E+00 -4.5234111001650879E-01
 -9.9796314965127220E-01  1.0158970452012801E+00  4.5234111001650879E-01
  9.9989785076373838E-01  1.0175909372546641E+00  4.5212920608343365E-01
 -9.9989785076373838E-01 -1.0175909372546641E+00 -4.5212920608343365E-01
 -1.4983957503112579E+00 -1.2704190400379862E-03  1.5892794980638470E-04
  1.4983957503112579E+00  1.2704190400379862E-03 -1.5892794980638470E-04
  4.9947370047712769E-01 -4.9790765579821111E-01  1.3355065944515825E+00
 -4.9947370047712769E-01  4.9790765579821111E-01 -1.3355065944515825E+00
 -4.9945679973037760E-01 -4.9875460182490311E-01  1.3356125464181201E+00
  4.9945679973037760E-01  4.9875460182490311E-01 -1.3356125464181201E+00
 -1.2401148408532027E-03 -1.5208127582123456E+00 -9.0625301635981950E-03
  1.2401148408532027E-03  1.5208127582123456E+00  9.0625301635981950E-03
  4.9863005650314213E-01 -5.1512057031666059E-01 -1.3416542331938521E+00
 -4.9863005650314213E-01  5.1512057031666059E-01  1.3416542331938521E+00
 -5.0030044370436322E-01 -5.1596751634335258E-01 -1.3415482812273145E+00
  5.0030044370436322E-01  5.1596751634335258E-01  1.3415482812273145E+00
 -1.4982551429822604E+00  1.5984000463702662E-03  4.4635239922404546E-01
  1.4982551429822604E+00 -1.5984000463702662E-03 -4.4635239922404546E-01
 -1.4985363576402555E+00 -4.1392381264462388E-03 -4.4603454332443271E-01
  1.4985363576402555E+00  4.1392381264462388E-03  4.4603454332443271E-01
  1.0995075118556007E-03  1.5179439391259373E+00 -4.3713094111064088E-01
 -1.0995075118556007E-03 -1.5179439391259373E+00  4.3713094111064088E-01
 -1.4979823786976403E+00  5.0566716703074388E-01  3.1797713376724495E-03
  1.4979823786976403E+00 -5.0566716703074388E-01 -3.1797713376724495E-03
  1.4988091219248756E+00  5.0820800511081987E-01  2.8619154380596801E-03
 -1.4988091219248756E+00 -5.0820800511081987E-01 -2.8619154380596801E-03
 -1.3807221698508047E-03 -1.5236815772987540E+00 -4.5525600143783729E-01
  1.3807221698508047E-03  1.5236815772987540E+00  4.5525600143783729E-01
 -4.9822513526289947E-01  1.5203892851989997E+00  9.1155061468669897E-03
  4.9822513526289947E-01 -1.5203892851989997E+00 -9.1155061468669897E-03
 -5.0070536494460582E-01 -1.5212362312256915E+00 -9.0095541803294002E-03
  5.0070536494460582E-01  1.5212362312256915E+00  9.0095541803294002E-03
 -1.4981229860266378E+00  5.0279834794433564E-01 -4.4301369993656664E-01
  1.4981229860266378E+00 -5.0279834794433564E-01  4.4301369993656664E-01
  1.4986685145958780E+00  5.0533918602441164E-01 -4.4333155583617939E-01
 -1.4986685145958780E+00 -5.0533918602441164E-01  4.4333155583617939E-01
 -1.4978417713686425E+00  5.0853598611715212E-01  4.4937324261191153E-01
  1.4978417713686425E+00 -5.0853598611715212E-01 -4.4937324261191153E-01
 -1.4989497292538734E+00 -5.1107682419722811E-01 -4.4905538671229878E-01
  1.4989497292538734E+00  5.1107682419722811E-01  4.4905538671229878E-01
 -4.9836574259189703E-01  1.5175204661125914E+00 -4.3707796512737207E-01
  4.9836574259189703E-01 -1.5175204661125914E+00  4.3707796512737207E-01
  5.0056475761560826E-01  1.5183674121392832E+00 -4.3718391709390969E-01
 -5.0056475761560826E-01 -1.5183674121392832E+00  4.3718391709390969E-01
  4.9808452793390184E-01 -1.5232581042854081E+00 -4.5530897742110610E-01
 -4.9808452793390184E-01  1.5232581042854081E+00  4.5530897742110610E-01
 -5.0084597227360350E-01 -1.5241050503120999E+00 -4.5520302545456848E-01
  5.0084597227360350E-01  1.5241050503120999E+00  4.5520302545456848E-01
 -4.0492124024266271E-04 -1.0052687148823389E+00  1.3325387270469851E+00
  4.0492124024266271E-04  1.0052687148823389E+00 -1.3325387270469851E+00
  9.9850867822051248E-01 -7.7595112325327667E-03 -1.3386863657892549E+00
 -9.9850867822051248E-01  7.7595112325327667E-03  1.3386863657892549E+00
 -9.9935232219449810E-01 -9.4534032859167477E-03 -1.3384744618561797E+00
  9.9935232219449810E-01  9.4534032859167477E-03  1.3384744618561797E+00
  9.9838497163826501E-01 -1.0072905879420553E+00  8.8623930380620841E-01
 -9.9838497163826501E-01  1.0072905879420553E+00 -8.8623930380620841E-01
  9.9947602877674557E-01  1.0089844799954393E+00 -8.8645120773928365E-01
 -9.9947602877674557E-01 -1.0089844799954393E+00  8.8645120773928365E-01
  9.9782254232227463E-01 -1.0187658642876882E+00 -8.9853458129074792E-01
 -9.9782254232227463E-01  1.0187658642876882E+00  8.9853458129074792E-01
 -1.0000384580927359E+00 -1.0204597563410722E+00 -8.9832267735767268E-01
  1.0000384580927359E+00  1.0204597563410722E+00  8.9832267735767268E-01
  1.2485652142282743E-03  1.0224816294007886E+00  1.3446221005984493E+00
 -1.2485652142282743E-03 -1.0224816294007886E+00 -1.3446221005984493E+00
 -9.9893895058088034E-01  4.9748418278486511E-01 -1.3354536184683137E+00
  9.9893895058088034E-01 -4.9748418278486511E-01  1.3354536184683137E+00
  9.9892204983413024E-01  4.9917807483824911E-01 -1.3356655224013889E+00
 -9.9892204983413024E-01 -4.9917807483824911E-01  1.3356655224013889E+00
  4.9906032886350998E-01 -1.0048452418689930E+00  1.3324857510637163E+00
 -4.9906032886350998E-01  1.0048452418689930E+00 -1.3324857510637163E+00
